HeLa,Huh7,MCF7,LN,ENSG ids,coPARSE-lncRNA
AC005618.6,,,1,ENSG00000272070,Yes
,AC005594.3,,2,ENSG00000205790,No
,,AC003005.2,3,ENSG00000268266,No
AC006277.2,AC006277.2,,4,ENSG00000253392,No
AC104695.3,AC104695.3,,5,ENSG00000270210,Yes
AC113189.5,AC113189.5,,6,ENSG00000233223,Yes
AP000279.69,AP000279.69,,7,ENSG00000238197,Yes
COL4A2-AS2,COL4A2-AS2,,8,ENSG00000224821,No
CTB-31O20.4,CTB-31O20.4,,9,ENSG00000267244,Yes
DNM3OS,DNM3OS,,10,ENSG00000230630,Yes
LA16c-395F10.1,LA16c-395F10.1,,11,ENSG00000226890,No
RP11-175D17.3,RP11-175D17.3,,12,ENSG00000236643,No
RP11-285E9.5,RP11-285E9.5,,13,ENSG00000265121,Yes
RP11-439C15.4,RP11-439C15.4,,14,ENSG00000253764,Yes
RP11-575L7.8,RP11-575L7.8,,15,ENSG00000235298,No
RP11-615I2.2,RP11-615I2.2,,16,ENSG00000260577,Yes
RP3-404F18.2,RP3-404F18.2,,18,ENSG00000224281,No
SNHG14,SNHG14,,19,ENSG00000224078,Yes
AC009120.6,,AC009120.6,20,ENSG00000279100,No
AC144521.1,,AC144521.1,21,ENSG00000272477,Yes
CTC-471J1.2,,CTC-471J1.2,22,ENSG00000260160,No
DLX6-AS1,,DLX6-AS1,23,ENSG00000231764,No
RP11-1055B8.4,,RP11-1055B8.4,24,ENSG00000262877,Yes
RP11-124N14.4,,RP11-124N14.4,25,ENSG00000229124,No
RP11-213H15.1,,RP11-213H15.1,26,ENSG00000234292,Yes
RP11-661A12.5,,RP11-661A12.5,27,ENSG00000254859,No
RP4-535B20.1,,RP4-535B20.1,28,ENSG00000231485,Yes
,AC147651.3,AC147651.3,29,ENSG00000223855,Yes
,HOXB-AS3,HOXB-AS3,30, ENSG00000233101,Yes
,RP1-228H13.5,RP1-228H13.5,31,ENSG00000260920,No
,RP11-186F10.2,RP11-186F10.2,32,ENSG00000257761,No
AC007773.2,,,33, ENSG00000267213,Yes
AC009501.4,,,34,ENSG00000231609,No
AC009948.3,,,35,ENSG00000279598,No
AC012305.1,,,36,ENSG00000157985,Yes
AC025442.3,,,37,ENSG00000253744,No
AC068499.10,,,38,ENSG00000268650 ,No
AC084219.4,,,39,ENSG00000186019,No
AL355075.4,,,40,ENSG00000259001,No
AP003068.9,,,41,ENSG00000254501,No
CTB-25B13.5,,,42,ENSG00000268798,Yes
CTC-459F4.3,,,43,ENSG00000267575,No
CTD-2127H9.1,,,44,ENSG00000249740,Yes
CTD-2314I6.1,,,45,ENSG00000248866,Yes
CTD-2368P22.1,,,46,ENSG00000176593,Yes
CTD-2410N18.4,,,47,ENSG00000273345,Yes
CTD-2547L24.3,,,48,ENSG00000258875,Yes
DLEU2L,,,49,ENSG00000116652,Yes
HNF1A-AS1,,,50,ENSG00000241388,Yes
LINC00324,,,51, ENSG00000178977,Yes
MEG9,,,52,ENSG00000223403,Yes
RP1-212P9.3,,,53,ENSG00000233427 ,Yes
RP11-20I23.6,,,54,ENSG00000261140,Yes
RP11-223I10.1,,,55,ENSG00000261829 ,Yes
RP11-258F1.1,,,56,ENSG00000266677,No
RP11-285E9.6,,,57,ENSG00000263718,No
RP11-31F15.1,,,58,ENSG00000226419,No
RP11-328K4.1,,,59,ENSG00000248740,No
RP11-383H13.1,,,60,ENSG00000235531,Yes
RP11-385F5.2,,,61,ENSG00000223776,No
RP11-399K21.14,,,62,ENSG00000272692,Yes
RP11-421L21.3,,,63,ENSG00000233184,No
RP11-429B14.1,,,64,ENSG00000259713,Yes
RP11-44F14.2,,,65,ENSG00000261804,Yes
RP11-46B11.5,,,66,ENSG00000270362,Yes
RP11-518L10.5,,,67,ENSG00000240963,No
RP11-563J2.3,,,68,ENSG00000212743,Yes
RP11-701B16.2,,,69,ENSG00000258782,No
RP11-701H24.3,,,70,ENSG00000257647,No
RP11-702M1.1,,,71,ENSG00000248079,Yes
RP11-705O3.1,,,72,ENSG00000246174,Yes
RP13-270P17.1,,,73, ENSG00000264235,No
RP4-785G19.5,,,74,ENSG00000250917,No
RP5-994D16.3,,,75,ENSG00000234917,Yes
,AC009505.2,,76,ENSG00000235522,No
,AC010226.4,,77,ENSG00000249249,No
,AC016736.2,,78,ENSG00000229867,No
,AC027601.1,,79,ENSG00000233923,Yes
,CTC-444N24.11,,80,ENSG00000268205,No
,CTD-2012K14.6,,81,ENSG00000261386,No
,CTD-2303H24.2,,82,ENSG00000273018,Yes
,CTD-2514K5.2,,83,ENSG00000246731,Yes
,CTD-2619J13.8,,84,ENSG00000268230,Yes
,CTD-3099C6.9,,85,ENSG00000269825,No
,HOXA-AS3,,86,ENSG00000254369 ,Yes
,NCRNA00118,,87,ENSG00000225756,No
,PAX8-AS1,,88,ENSG00000189223,No
,RP1-225E12.3,,89,ENSG00000272446,No
,RP11-124N14.3,,90,ENSG00000234961,No
,RP11-181C3.1,,91,ENSG00000245017 ,Yes
,RP11-21B21.4,,92,ENSG00000261744,No
,RP11-23J9.4,,93,ENSG00000255036,No
,RP11-420G6.4,,94,ENSG00000230438,No
,RP11-430B1.2,,95,ENSG00000259577 ,No
,RP11-444M10.3,,96,ENSG00000226520,No
,RP11-473M20.14,,97,ENSG00000263072,No
,RP11-47I22.2,,98,ENSG00000250548,Yes
,RP11-496N17.2,,99,ENSG00000248019,Yes
,RP11-550E22.3,,101,ENSG00000236778,No
,RP11-574K11.28,,102,ENSG00000271816,No
,RP11-713D19.1,,103,ENSG00000273233,Yes
,RP11-798M19.3,,104,ENSG00000248774,No
,RP11-92C4.3,,105,ENSG00000238264,No
,RP3-512E2.2,,106,ENSG00000226455,Yes
,RP4-665J23.1,,107,ENSG00000233593,No
,RP4-724E16.2,,108,ENSG00000197670,Yes
,RP4-734G22.3,,109,ENSG00000272078,No
,RP4-761J14.8,,110,ENSG00000219410,No
,RP5-1050D4.3,,111,ENSG00000262429,No
,SNHG1,,113,ENSG00000255717,No
,U73166.2,,114,ENSG00000230454,Yes
,,AC004549.6,115,ENSG00000229893,Yes
,,AC009506.1,116,ENSG00000224152,Yes
,,AC074091.13,117,ENSG00000205334,No
,,AC083843.1,118,ENSG00000259820,Yes
,,AC093818.1,119,ENSG00000225205,No
,,AC109828.1,120,ENSG00000234945,No
,,CIRBP-AS1,121,ENSG00000267493,Yes
,,CTB-179K24.3,122,ENSG00000267348,No
,,CTC-338M12.4,123,ENSG00000233937,No
,,CTD-2006C1.12,124,ENSG00000267274,No
,,CTD-2256P15.4,125,ENSG00000271980,No
,,CTD-2270P14.3,126,ENSG00000205913,Yes
,,CTD-2528L19.6,127,ENSG00000267152,No
,,CTD-2583A14.8,128,"	ENSG00000269867",No
,,MBNL1-AS1,129,ENSG00000229619,No
,,MIR137HG,130,ENSG00000225206,Yes
,,MIR17HG,131,ENSG00000215417 ,No
,,NEAT1,132,ENSG00000245532,Yes
,,RP1-124C6.1,133,ENSG00000232316,No
,,RP1-170O19.22,134,ENSG00000273433,Yes
,,RP11-106M3.3,135,ENSG00000261460,No
,,RP11-133O22.6,136,ENSG00000235481,No
,,RP11-169D4.2,137,ENSG00000256633,No
,,RP11-196G18.22,138, ENSG00000290792,No
,,RP11-199F11.2,139,ENSG00000262251,No
,,RP11-206L10.9,140,ENSG00000237491,No
,,RP11-219B17.1,141,ENSG00000245534,No
,,RP11-295G24.5,142,ENSG00000224992,Yes
,,RP11-295M18.5,143,ENSG00000257551,Yes
,,RP11-327J17.3,144,ENSG00000247809,No
,,RP11-343L5.2,145,ENSG00000271862,Yes
,,RP11-352M15.2,146,ENSG00000273015,No
,,RP11-355B11.2,147,ENSG00000270820,Yes
,,RP11-3P17.5,148,ENSG00000269888,No
,,RP11-44F14.8,149,ENSG00000262714,Yes
,,RP11-513G11.1,150,ENSG00000214145,Yes
,,RP11-558N14.1,151,ENSG00000232021,Yes
,,RP11-559N14.5,152, ENSG00000267432,No
,,RP11-562A8.5,153,ENSG00000259618,No
,,RP11-58D2.1,154,ENSG00000242767,Yes
,,RP11-649A18.12,155,ENSG00000263843,Yes
,,RP11-66N24.4,156,ENSG00000259431,No
,,RP11-715J22.2,157,ENSG00000243445,Yes
,,RP11-761I4.3,158,ENSG00000259343,Yes
,,RP11-795F19.1,159,ENSG00000261126,Yes
,,RP11-798M19.6,160,ENSG00000272870,Yes
,,RP11-840I19.3,161,ENSG00000259118,No
,,RP11-867G23.8,162,ENSG00000255468,Yes
,,RP4-607I7.1,163,ENSG00000255521,No
,,RP5-1021I20.6,164,ENSG00000270140,No
,,RP5-848E13.3,165,ENSG00000227533,Yes
,,RP5-991G20.1,166,ENSG00000259768,No
